CodRMet,CODESC,NOMESC,SERIE_ANO,medprof
1,12,AYRES DE MOURA PROFESSOR,9º Ano EF,279.8
1,24,GAVIAO PEIXOTO BRIGADEIRO,3º Ano EF,184.3
1,24,GAVIAO PEIXOTO BRIGADEIRO,5º Ano EF,220.65
1,24,GAVIAO PEIXOTO BRIGADEIRO,9º Ano EF,243.3
1,24,GAVIAO PEIXOTO BRIGADEIRO,EM-3ª série,258.4
1,36,JOAO SOLIMEO,9º Ano EF,248.0
1,36,JOAO SOLIMEO,EM-3ª série,253.25
1,48,WALFREDO ARANTES CALDAS PROFESSOR,EM-3ª série,253.55
1,59,SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR,EM-3ª série,264.15
1,61,SUZANA DE CAMPOS DONA,3º Ano EF,193.45
1,61,SUZANA DE CAMPOS DONA,5º Ano EF,223.65
1,73,JULIO DE FARIA E SOUZA PROFESSOR,3º Ano EF,174.5
1,73,JULIO DE FARIA E SOUZA PROFESSOR,5º Ano EF,208.2
1,85,JULIO CESAR DE OLIVEIRA PROFESSOR,3º Ano EF,212.3
1,85,JULIO CESAR DE OLIVEIRA PROFESSOR,5º Ano EF,230.2
