DEPADM;DepBol;NomeDepBol;CodRMet;CODESC;NOMESC;SERIE_ANO;cod_per;periodo;co_comp;ds_comp;medprof
1;1;Rede Estadual;1;12;AYRES DE MOURA PROFESSOR;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;269,6
1;1;Rede Estadual;1;12;AYRES DE MOURA PROFESSOR;9º Ano EF;9;GERAL;2;MATEMATICA;290
1;1;Rede Estadual;1;24;GAVIAO PEIXOTO BRIGADEIRO;3º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;169,1
1;1;Rede Estadual;1;24;GAVIAO PEIXOTO BRIGADEIRO;5º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;214,1
1;1;Rede Estadual;1;24;GAVIAO PEIXOTO BRIGADEIRO;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;238,6
1;1;Rede Estadual;1;24;GAVIAO PEIXOTO BRIGADEIRO;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;258,8
1;1;Rede Estadual;1;24;GAVIAO PEIXOTO BRIGADEIRO;3º Ano EF;9;GERAL;2;MATEMATICA;199,5
1;1;Rede Estadual;1;24;GAVIAO PEIXOTO BRIGADEIRO;5º Ano EF;9;GERAL;2;MATEMATICA;227,2
1;1;Rede Estadual;1;24;GAVIAO PEIXOTO BRIGADEIRO;9º Ano EF;9;GERAL;2;MATEMATICA;248
1;1;Rede Estadual;1;24;GAVIAO PEIXOTO BRIGADEIRO;EM-3ª série;9;GERAL;2;MATEMATICA;258
1;1;Rede Estadual;1;36;JOAO SOLIMEO;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;244,5
1;1;Rede Estadual;1;36;JOAO SOLIMEO;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;253,9
1;1;Rede Estadual;1;36;JOAO SOLIMEO;9º Ano EF;9;GERAL;2;MATEMATICA;251,5
1;1;Rede Estadual;1;36;JOAO SOLIMEO;EM-3ª série;9;GERAL;2;MATEMATICA;252,6
1;1;Rede Estadual;1;48;WALFREDO ARANTES CALDAS PROFESSOR;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;253,6
1;1;Rede Estadual;1;48;WALFREDO ARANTES CALDAS PROFESSOR;EM-3ª série;9;GERAL;2;MATEMATICA;253,5
1;1;Rede Estadual;1;59;SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;262,4
1;1;Rede Estadual;1;59;SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR;EM-3ª série;9;GERAL;2;MATEMATICA;265,9
1;1;Rede Estadual;1;61;SUZANA DE CAMPOS DONA;3º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;179,8
1;1;Rede Estadual;1;61;SUZANA DE CAMPOS DONA;5º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;216,8
1;1;Rede Estadual;1;61;SUZANA DE CAMPOS DONA;3º Ano EF;9;GERAL;2;MATEMATICA;207,1
1;1;Rede Estadual;1;61;SUZANA DE CAMPOS DONA;5º Ano EF;9;GERAL;2;MATEMATICA;230,5
1;1;Rede Estadual;1;73;JULIO DE FARIA E SOUZA PROFESSOR;3º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;163,7
1;1;Rede Estadual;1;73;JULIO DE FARIA E SOUZA PROFESSOR;5º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;196,9
1;1;Rede Estadual;1;73;JULIO DE FARIA E SOUZA PROFESSOR;3º Ano EF;9;GERAL;2;MATEMATICA;185,3
1;1;Rede Estadual;1;73;JULIO DE FARIA E SOUZA PROFESSOR;5º Ano EF;9;GERAL;2;MATEMATICA;219,5
1;1;Rede Estadual;1;85;JULIO CESAR DE OLIVEIRA PROFESSOR;3º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;194
1;1;Rede Estadual;1;85;JULIO CESAR DE OLIVEIRA PROFESSOR;5º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;220,2
1;1;Rede Estadual;1;85;JULIO CESAR DE OLIVEIRA PROFESSOR;3º Ano EF;9;GERAL;2;MATEMATICA;230,6
1;1;Rede Estadual;1;85;JULIO CESAR DE OLIVEIRA PROFESSOR;5º Ano EF;9;GERAL;2;MATEMATICA;240,2
